time,Pscl,T,RH,v,u,Height,P,TD,MR,DD,FF,AZ,Range,Lon,Lat,SpuKey,UsrKey,RadarH
0.00,27963,295.05,58,2.57,-4.46,825,922.40,286.45,10.46,120,5.15,-32768,0,-43.97,-19.62,49159,49159,-32768
10.00,27938,293.33,66,1.89,-4.61,879,916.72,286.75,10.74,112,4.98,314,172,-43.97,-19.62,32768,32768,-32768
20.00,27910,292.75,68,2.60,-5.52,938,910.44,286.79,10.85,115,6.10,308,242,-43.97,-19.62,0,0,-32768
30.00,27885,292.24,70,2.87,-5.87,990,904.95,286.70,10.85,116,6.54,307,294,-43.97,-19.62,0,0,-32768
40.00,27862,291.79,72,2.69,-5.99,1039,899.82,286.71,10.92,114,6.57,305,370,-43.97,-19.62,0,0,-32768
50.00,27833,291.21,74,2.24,-5.47,1099,893.58,286.49,10.84,112,5.91,302,447,-43.98,-19.62,0,0,-32768
60.00,27807,290.66,76,1.84,-4.67,1153,887.94,286.41,10.85,112,5.02,302,484,-43.98,-19.62,0,0,-32768
70.00,27783,290.23,77,1.64,-4.21,1204,882.71,286.22,10.78,111,4.52,301,527,-43.98,-19.62,0,0,-32768
80.00,27754,289.68,80,1.46,-3.94,1264,876.54,286.20,10.84,110,4.20,300,578,-43.98,-19.62,0,0,-32768
90.00,27726,289.17,82,1.18,-3.59,1324,870.38,286.05,10.82,108,3.77,299,617,-43.98,-19.62,0,0,-32768
100.00,27692,288.54,84,0.87,-3.23,1394,863.24,285.78,10.71,105,3.34,298,651,-43.98,-19.62,0,0,-32768
110.00,27662,287.92,86,0.60,-2.97,1455,856.99,285.69,10.73,101,3.03,298,678,-43.98,-19.62,0,0,-32768
120.00,27632,287.38,89,0.37,-2.89,1517,850.77,285.54,10.70,97,2.92,297,708,-43.98,-19.62,0,0,-32768
130.00,27603,286.89,90,-0.01,-3.14,1577,844.75,285.34,10.64,90,3.14,296,730,-43.98,-19.62,0,0,-32768
140.00,27574,286.64,89,-0.78,-3.72,1638,838.73,284.95,10.43,78,3.80,295,760,-43.98,-19.62,0,0,-32768
150.00,27544,286.03,92,-1.67,-4.40,1698,832.72,284.73,10.36,69,4.71,293,799,-43.98,-19.62,0,0,-32768
160.00,27512,285.55,93,-2.03,-5.04,1766,826.07,284.45,10.25,68,5.43,290,832,-43.98,-19.62,49158,49158,-32768
170.00,27480,285.71,86,-1.82,-5.37,1830,819.81,283.51,9.69,71,5.67,288,874,-43.98,-19.62,0,0,-32768
180.00,27444,285.75,82,-1.52,-4.81,1904,812.57,282.81,9.32,73,5.05,285,921,-43.98,-19.62,0,0,-32768
190.00,27409,286.16,75,-1.17,-3.41,1977,805.56,281.91,8.84,71,3.60,284,967,-43.98,-19.62,49152,49152,-32768
200.00,27375,285.70,76,-0.45,-2.10,2047,798.92,281.51,8.68,78,2.15,284,987,-43.98,-19.62,0,0,-32768
210.00,27343,285.19,76,0.62,-1.53,2113,792.68,281.16,8.54,112,1.65,283,1000,-43.98,-19.62,5,5,-32768
220.00,27310,284.76,77,1.73,-1.34,2180,786.38,280.80,8.39,142,2.19,283,1014,-43.98,-19.62,0,0,-32768
230.00,27278,284.92,72,2.43,-0.87,2246,780.22,280.02,8.02,160,2.58,284,1042,-43.98,-19.62,0,0,-32768
240.00,27248,284.52,72,2.28,0.06,2306,774.58,279.58,7.83,182,2.28,286,1043,-43.98,-19.62,0,0,-32768
250.00,27215,284.06,73,1.44,1.24,2373,768.46,279.42,7.80,221,1.90,287,1045,-43.98,-19.62,0,0,-32768
260.00,27183,283.90,75,0.58,2.40,2439,762.36,279.67,8.01,256,2.47,288,1026,-43.98,-19.62,0,0,-32768
270.00,27150,283.56,75,-0.06,3.41,2507,756.24,279.42,7.94,271,3.41,288,1001,-43.98,-19.62,0,0,-32768
280.00,27115,283.11,77,-0.57,4.09,2577,749.84,279.23,7.90,278,4.13,289,963,-43.98,-19.62,0,0,-32768
290.00,27082,282.51,80,-0.89,4.27,2644,743.82,279.19,7.94,282,4.36,289,912,-43.98,-19.62,0,0,-32768
300.00,27049,281.90,83,-1.23,3.71,2711,737.86,279.13,7.97,288,3.91,290,869,-43.98,-19.62,0,0,-32768
310.00,27013,281.30,85,-1.78,2.37,2784,731.43,278.85,7.89,307,2.96,290,831,-43.98,-19.62,49152,49152,-32768
320.00,26982,281.88,65,-2.58,0.60,2848,725.82,275.61,6.31,347,2.65,288,812,-43.98,-19.62,0,0,-32768
330.00,26948,281.81,52,-3.78,-1.17,2915,719.93,272.58,5.10,17,3.96,286,808,-43.98,-19.62,0,0,-32768
340.00,26913,282.01,42,-5.39,-2.69,2985,713.84,269.69,4.15,27,6.03,283,813,-43.98,-19.62,16384,16384,-32768
350.00,26879,281.95,36,-7.05,-3.79,3054,707.92,267.74,3.61,28,8.01,278,841,-43.98,-19.62,0,0,-32768
360.00,26845,281.51,35,-8.38,-4.45,3124,701.98,266.86,3.40,28,9.49,272,875,-43.98,-19.62,0,0,-32768
370.00,26810,281.07,34,-9.07,-4.71,3193,696.09,266.16,3.25,27,10.22,266,928,-43.98,-19.62,32768,32768,-32768
380.00,26775,281.56,23,-9.26,-4.32,3263,690.19,261.79,2.32,25,10.22,261,988,-43.98,-19.63,6,6,-32768
390.00,26742,281.64,17,-9.46,-3.22,3330,684.66,257.72,1.68,19,9.99,257,1043,-43.98,-19.63,49152,49152,-32768
400.00,26707,281.29,16,-10.10,-1.83,3401,678.78,256.84,1.58,10,10.27,252,1093,-43.98,-19.63,0,0,-32768
410.00,26674,280.99,15,-11.31,-0.68,3467,673.38,255.91,1.47,3,11.33,247,1138,-43.98,-19.63,0,0,-32768
420.00,26639,280.88,15,-12.66,-0.06,3537,667.63,255.73,1.46,0,12.66,242,1191,-43.98,-19.63,6,6,-32768
430.00,26604,280.40,15,-13.60,-0.02,3608,661.96,255.42,1.43,0,13.60,236,1256,-43.98,-19.63,0,0,-32768
440.00,26569,279.75,15,-14.16,-0.32,3678,656.28,255.12,1.41,1,14.16,231,1341,-43.98,-19.63,0,0,-32768
450.00,26535,279.14,15,-14.54,-0.77,3747,650.83,254.51,1.35,3,14.56,227,1440,-43.98,-19.63,0,0,-32768
460.00,26501,278.56,15,-14.51,-1.50,3814,645.48,253.63,1.26,6,14.58,223,1546,-43.98,-19.63,7,7,-32768
470.00,26467,277.90,14,-14.02,-2.19,3882,640.08,252.85,1.19,9,14.19,220,1666,-43.98,-19.64,0,0,-32768
480.00,26434,277.34,13,-13.65,-2.46,3948,634.94,251.18,1.04,10,13.87,218,1794,-43.98,-19.64,0,0,-32768
490.00,26399,276.74,12,-13.61,-2.61,4017,629.56,249.48,0.90,11,13.86,216,1915,-43.98,-19.64,0,0,-32768
500.00,26365,276.25,9,-13.44,-2.86,4084,624.36,246.68,0.71,12,13.74,215,2046,-43.98,-19.64,0,0,-32768
510.00,26334,275.74,15,-13.03,-2.84,4145,619.71,252.03,1.15,12,13.33,213,2182,-43.98,-19.64,0,0,-32768
